Tempo; Valor
1,9763856;246,9801096
1,97736595;246,7100012
1,9783463;246,8310844
1,97932665;247,5449434
1,980307;248,9459224
1,98128735;251,002742
1,9822677;253,6668084
1,98324805;256,848753
1,9842284;260,1939717
1,98520875;262,96626
1,9861891;264,3535027
1,98716945;264,0542455
1,9881498;262,5948639
1,98913015;261,0145765
1,9901105;260,1887708
1,99109085;260,3599772
1,9920712;261,1355531
1,99305155;261,8005274
1,9940319;261,7156118
1,99501225;260,6909867
1,9959926;259,1794181
1,99697295;258,0714268
1,9979533;258,1667179
1,99893365;259,6935406
1,999914;262,170732
2,00089435;264,7081069
2,0018747;266,5877587
2,00285505;267,6242542
2,0038354;267,9409269
2,00481575;267,580964
2,0057961;266,6389565
2,00677645;265,7013482
2,0077568;265,7155442
2,00873715;267,1486964
2,0097175;269,3295334
2,01069785;270,7956379
2,0116782;270,4480443
2,01265855;268,4009589
2,0136389;265,7284183
2,01461925;263,5956276
2,0155996;262,758181
2,01657995;263,5633625
2,0175603;265,8952406
2,01854065;268,9477943
2,019521;271,355296
2,02050135;271,9816728
2,0214817;270,8250933
2,02246205;269,0695078
2,0234424;268,0492439
2,02442275;268,1307936
2,0254031;268,6738316
2,02638345;268,9777057
2,0273638;268,9974377
2,02834415;269,0999629
2,0293245;269,4697501
2,03030485;270,016134
2,0312852;270,7425154
2,03226555;271,9710204
2,0332459;274,0261984
2,03422625;276,6092196
2,0352066;278,6280858
2,03618695;278,9081193
2,0371673;277,1691802
2,03814765;274,2812722
2,039128;271,6052909
2,04010835;270,1319188
2,0410887;270,1506142
2,04206905;271,4725471
2,0430494;273,6770543
2,04402975;276,1213431
2,0450101;278,0470898
2,04599045;278,9843545
2,0469708;279,0579844
2,04795115;278,8271218
2,0489315;278,8353376
2,04991185;279,2691246
2,0508922;279,9423853
2,05187255;280,5710351
2,0528529;281,0467927
2,05383325;281,3917474
2,0548136;281,493178
2,05579395;281,0781174
2,0567743;280,0813522
2,05775465;278,9933393
2,058735;278,7354736
2,05971535;280,1029826
2,0606957;283,2251469
2,06167605;287,4052822
2,0626564;291,3810036
2,06363675;293,9209113
2,0646171;294,500288
2,06559745;293,4927595
2,0665778;291,7022478
2,06755815;289,8744943
2,0685385;288,6073181
2,06951885;288,2373283
2,0704992;288,4597857
2,07147955;288,2320641
2,0724599;286,3889449
2,07344025;282,5441005
2,0744206;277,5039558
2,07540095;272,8687799
2,0763813;270,1671806
2,07736165;270,1375319
2,078342;272,4941174
2,07932235;276,1935822
2,0803027;280,090591
2,08128305;283,5713941
2,0822634;286,5524588
2,08324375;288,9121832
2,0842241;290,2198238
2,08520445;290,1310014
2,0861848;288,8579456
2,08716515;287,2281377
2,0881455;286,3882688
2,08912585;287,2508457
2,0901062;289,9004367
2,09108655;293,4126528
2,0920669;296,2367585
2,09304725;296,9247469
2,0940276;294,9251967
2,09500795;291,0072108
2,0959883;286,9123738
2,09696865;284,3498006
2,097949;284,0034
2,09892935;285,3144195
2,0999097;287,2016133
2,10089005;289,0473009
2,1018704;291,0816535
2,10285075;293,8510586
2,1038311;297,2738304
2,10481145;300,2468977
2,1057918;301,2609512
2,10677215;299,4920735
2,1077525;295,5682514
2,10873285;291,561965
2,1097132;290,0168374
2,11069355;292,3370507
2,1116739;297,6691794
2,11265425;303,2972414
2,1136346;306,3367706
2,11461495;305,4587612
2,1155953;301,4239352
2,11657565;296,1696371
2,117556;291,3121888
2,11853635;287,3430216
2,1195167;284,0049017
2,12049705;281,0606054
2,1214774;278,5385575
2,12245775;276,5619424
2,1234381;275,2626504
2,12441845;274,7761339
2,1253988;275,1463706
2,12637915;276,2510612
2,1273595;277,930299
2,12833985;280,2162328
2,1293202;283,2543672
2,13030055;286,7918777
2,1312809;289,8080788
2,13226125;290,8607027
2,1332416;288,9560664
2,13422195;284,314597
2,1352023;278,5097459
2,13618265;273,7090721
2,137163;271,3596848
2,13814335;271,3250584
2,1391237;272,1622357
2,14010405;272,2202689
2,1410844;270,7360609
2,14206475;268,282306
2,1430451;266,3542981
2,14402545;266,3622995
2,1450058;268,6690624
2,14598615;272,3063371
2,1469665;275,534935
2,14794685;276,870251
2,1489272;275,8954793
2,14990755;273,279469
2,1508879;270,0886776
2,15186825;267,1384421
2,1528486;264,887835
2,15382895;263,6088116
2,1548093;263,3410184
2,15578965;263,7103554
2,15677;264,089855
2,15775035;264,0488809
2,1587307;263,4582362
2,15971105;262,1738439
2,1606914;259,9748387
2,16167175;256,9721604
2,1626521;253,9133147
2,16363245;251,9552776
2,1646128;252,0321593
2,16559315;254,2123704
2,1665735;257,4358376
2,16755385;259,776509
2,1685342;259,1411054
2,16951455;254,2497607
2,1704949;245,518781
2,17147525;235,2263121
2,1724556;226,6778394
2,17343595;222,7354807
2,1744163;224,3999295
2,17539665;230,2078092
2,176377;236,9299872
2,17735735;241,1830891
2,1783377;240,9503778
2,17931805;236,3142048
2,1802984;229,2124961
2,18127875;222,32976
2,1822591;217,6827225
2,18323945;215,7584233
2,1842198;215,6345104
2,18520015;215,8373099
2,1861805;215,3805244
2,18716085;214,2771385
2,1881412;213,0918515
2,18912155;212,0754943
2,1901019;210,8365042
2,19108225;208,7080541
2,1920626;205,2981504
2,19304295;200,8222439
2,1940233;196,0821695
2,19500365;192,1550849
2,195984;189,9686182
2,19696435;189,8561808
2,1979447;191,2930168
2,19892505;193,1960155
2,1999054;194,6064718
2,20088575;194,9630235
2,2018661;193,8563419
2,20284645;190,9961077
2,2038268;186,5857211
2,20480715;181,5138156
2,2057875;177,0370496
2,20676785;174,2142162
2,2077482;173,3704729
2,20872855;173,7569891
2,2097089;173,7468518
2,21068925;171,7426866
2,2116696;167,2427307
2,21264995;161,1760619
2,2136303;155,1989574
2,21461065;150,5037818
2,215591;147,0409297
2,21657135;143,7148691
2,2175517;139,3980917
2,21853205;133,9691522
2,2195124;128,5282212
2,22049275;124,6023213
2,2214731;122,9759545
2,22245345;123,1008607
2,2234338;123,5279471
2,22441415;122,871372
2,2253945;120,4727103
2,22637485;116,4430668
2,2273552;111,3160689
2,22833555;105,6501345
2,2293159;99,77177725
2,23029625;93,70243826
2,2312766;87,2706256
2,23225695;80,36554469
2,2332373;73,13250443
2,23421765;65,92351649
2,235198;59,09544067
2,23617835;52,88893319
2,2371587;47,43583957
2,23813905;42,73306118
2,2391194;38,53815436
2,24009975;34,42440574
2,2410801;30,08385502
2,24206045;25,50282788
2,2430408;20,74200533
2,24402115;15,66777972
2,2450015;10,06285122
2,24598185;3,968054934
2,2469622;-2,216414268
2,24794255;-8,016378376
2,2489229;-13,26211289
2,24990325;-18,22087587
2,2508836;-23,36941694
2,25186395;-28,95521182
2,2528443;-34,70808726
2,25382465;-39,98993018
2,254805;-44,29152671
2,25578535;-47,67399674
2,2567657;-50,77710919
2,25774605;-54,39365365
2,2587264;-58,99800191
2,25970675;-64,57407851
2,2606871;-70,75387379
2,26166745;-77,05399453
2,2626478;-82,99999048
2,26362815;-88,13924897
2,2646085;-92,13350504
2,26558885;-94,98957665
2,2665692;-97,1911146
2,26754955;-99,50969437
2,2685299;-102,6253623
2,26951025;-106,8338008
2,2704906;-111,9527812
2,27147095;-117,4600215
2,2724513;-122,8031715
2,27343165;-127,6351319
2,274412;-131,8446078
2,27539235;-135,524673
2,2763727;-138,9847254
2,27735305;-142,737343
2,2783334;-147,3474182
2,27931375;-153,1172178
2,2802941;-159,7889487
2,28127445;-166,5386376
2,2822548;-172,3393411
2,28323515;-176,5339922
2,2842155;-179,2970129
2,28519585;-181,5988726
2,2861762;-184,5893853
2,28715655;-188,850628
2,2881369;-194,1095003
2,28911725;-199,5768933
2,2900976;-204,5791753
2,29107795;-209,0109738
2,2920583;-213,3256036
2,29303865;-218,0782313
2,294019;-223,385372
2,29499935;-228,7824734
2,2959797;-233,5721206
2,29696005;-237,3131228
2,2979404;-240,0939322
2,29892075;-242,4384256
2,2999011;-244,9173663
2,30088145;-247,7956989
2,3018618;-251,0101828
2,30284215;-254,3846461
2,3038225;-257,8218542
2,30480285;-261,4064293
2,3057832;-265,4330007
2,30676355;-270,2711863
2,3077439;-276,0526931
2,30872425;-282,434669
2,3097046;-288,7504469
2,31068495;-294,4694373
2,3116653;-299,5164372
2,31264565;-304,1906412
2,313626;-308,8427038
2,31460635;-313,5605423
2,3155867;-318,0376772
2,31656705;-321,7615658
2,3175474;-324,4542125
2,31852775;-326,3996473
2,3195081;-328,3310839
2,32048845;-330,9503081
2,3214688;-334,4730358
2,32244915;-338,5317246
2,3234295;-342,4496745
2,32440985;-345,6631033
2,3253902;-348,0441888
2,32637055;-349,9518552
2,3273509;-351,9680519
2,32833125;-354,4875339
2,3293116;-357,4593924
2,33029195;-360,4645641
2,3312723;-363,0483998
2,33225265;-365,0420427
2,333233;-366,6559455
2,33421335;-368,3479022
2,3351937;-370,5962489
2,33617405;-373,6786323
2,3371544;-377,5392078
2,33813475;-381,8059631
2,3391151;-385,9432031
2,34009545;-389,498152
2,3410758;-392,3511615
2,34205615;-394,7662358
2,3430365;-397,1329162
2,34401685;-399,596286
2,3449972;-401,8875189
2,34597755;-403,4763687
2,3469579;-403,9351789
2,34793825;-403,287691
2,3489186;-402,1089833
2,34989895;-401,2678333
2,3508793;-401,4556206
